"id","pop_density"
"Abilene, TX",62.7159833193717
"Aguadilla-Isabela, PR",612.873566017603
"Akron, OH",781.47569713539
"Albany-Lebanon, OR",56.7272033102257
"Albany-Schenectady-Troy, NY",313.115614207859
"Albany, GA",92.2238232234567
"Albuquerque, NM",98.8889135409713
"Alexandria, LA",77.4367385824295
"Allentown-Bethlehem-Easton, PA-NJ",580.95805145485
"Altoona, PA",231.70158613819
"Amarillo, TX",51.4646994309436
"Ames, IA",107.814695520221
"Anchorage, AK",15.0001235223431
"Ann Arbor, MI",520.708141121404
"Anniston-Oxford, AL",187.507312021795
"Appleton, WI",248.963361861027
"Arecibo, PR",737.503779665849
"Asheville, NC",227.627950846954
"Athens-Clarke County, GA",208.547258698645
"Atlanta-Sandy Springs-Alpharetta, GA",693.16350480195
"Atlantic City-Hammonton, NJ",474.640825200104
"Auburn-Opelika, AL",270.834322093887
"Augusta-Richmond County, GA-SC",174.95794050816
"Austin-Round Rock-Georgetown, TX",527.489522663695
"Bakersfield, CA",110.694735104159
"Baltimore-Columbia-Towson, MD",1076.3189460741
"Bangor, ME",44.7863326827596
"Barnstable Town, MA",540.285267021353
"Baton Rouge, LA",195.82178978067
"Battle Creek, MI",189.956807536966
"Bay City, MI",233.189560315833
"Beaumont-Port Arthur, TX",186.868393358209
"Beckley, WV",91.3730657577315
"Bellingham, WA",108.757317879559
"Bend, OR",65.5126307259091
"Billings, MT",28.0440141588937
"Binghamton, NY",194.940682720936
"Birmingham-Hoover, AL",242.938458157468
"Bismarck, ND",30.1213308322469
"Blacksburg-Christiansburg, VA",156.048569229661
"Bloomington, IL",144.95426441558
"Bloomington, IN",217.012252554278
"Bloomsburg-Berwick, PA",135.663946815752
"Boise City, ID",63.6719668702317
"Boston-Cambridge-Newton, MA-NH",1397.81816647553
"Boulder, CO",449.072170696238
"Bowling Green, KY",110.981955814151
"Bremerton-Silverdale-Port Orchard, WA",687.053587089656
"Bridgeport-Stamford-Norwalk, CT",1509.40862754317
"Brownsville-Harlingen, TX",474.588669694278
"Brunswick, GA",91.782838686785
"Buffalo-Cheektowaga, NY",720.719480999318
"Burlington-South Burlington, VT",175.974586980624
"Burlington, NC",400.309134580842
"California-Lexington Park, MD",316.450804264175
"Canton-Massillon, OH",409.847108345763
"Cape Coral-Fort Myers, FL",986.077665332183
"Cape Girardeau, MO-IL",67.5809061370448
"Carbondale-Marion, IL",100.751094646094
"Carson City, NV",386.530623911845
"Casper, WY",14.9531762155214
"Cedar Rapids, IA",135.918035723448
"Chambersburg-Waynesboro, PA",200.73439178076
"Champaign-Urbana, IL",157.481263075343
"Charleston-North Charleston, SC",309.674819117594
"Charleston, WV",97.1371865882564
"Charlotte-Concord-Gastonia, NC-SC",471.141712454143
"Charlottesville, VA",132.936246168698
"Chattanooga, TN-GA",270.556667689706
"Cheyenne, WY",37.0458101927218
"Chicago-Naperville-Elgin, IL-IN-WI",1314.58638417841
"Chico, CA",133.936698387226
"Cincinnati, OH-KY-IN",488.583366537872
"Clarksville, TN-KY",142.640573896779
"Cleveland-Elyria, OH",1024.52853836163
"Cleveland, TN",163.672215493457
"Coeur d'Alene, ID",133.866339300065
"College Station-Bryan, TX",126.044166552637
"Colorado Springs, CO",277.876750669943
"Columbia, MO",121.447099780088
"Columbia, SC",226.399307196321
"Columbus, GA-AL",115.221537114303
"Columbus, IN",205.867764899527
"Columbus, OH",442.455136156348
"Corpus Christi, TX",280.090752388322
"Corvallis, OR",137.819193612935
"Crestview-Fort Walton Beach-Destin, FL",144.722410258318
"Cumberland, MD-WV",129.702409121771
"Dallas-Fort Worth-Arlington, TX",873.081889171385
"Dalton, GA",227.936281596747
"Danville, IL",84.3330887224048
"Daphne-Fairhope-Foley, AL",140.414402060003
"Davenport-Moline-Rock Island, IA-IL",167.048458788666
"Dayton-Kettering, OH",630.131200246306
"Decatur, AL",120.132950152283
"Decatur, IL",179.148040655393
"Deltona-Daytona Beach-Ormond Beach, FL",421.312616891456
"Denver-Aurora-Lakewood, CO",355.571579227703
"Des Moines-West Des Moines, IA",193.580456305717
"Detroit-Warren-Dearborn, MI",1109.9651673561
"Dothan, AL",87.034066615366
"Dover, DE",308.476874444515
"Dubuque, IA",159.972227137031
"Duluth, MN-WI",27.4403211127816
"Durham-Chapel Hill, NC",281.371894587786
"East Stroudsburg, PA",279.932460302397
"Eau Claire, WI",102.8404801854
"El Centro, CA",43.3991926769971
"El Paso, TX",151.174505655399
"Elizabethtown-Fort Knox, KY",129.308604409901
"Elkhart-Goshen, IN",445.497619161353
"Elmira, NY",204.874129672649
"Enid, OK",57.6812249704389
"Erie, PA",337.557368282055
"Eugene-Springfield, OR",83.8592556582721
"Evansville, IN-KY",215.171135500818
"Fairbanks, AK",13.2134302975371
"Fargo, ND-MN",87.5919485092165
"Farmington, NM",22.4675405234733
"Fayetteville-Springdale-Rogers, AR",203.839948012649
"Fayetteville, NC",321.619421427842
"Flagstaff, AZ",7.70680924545119
"Flint, MI",637.134190116082
"Florence-Muscle Shoals, AL",117.365891026319
"Florence, SC",150.546846912599
