CBSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
"Aberdeen, SD",Brown County,South Dakota,46,013,Central
"Aberdeen, SD",Edmunds County,South Dakota,46,045,Outlying
"Aberdeen, WA",Grays Harbor County,Washington,53,027,Central
"Abilene, TX",Callahan County,Texas,48,059,Outlying
"Abilene, TX",Jones County,Texas,48,253,Outlying
"Abilene, TX",Taylor County,Texas,48,441,Central
"Ada, OK",Pontotoc County,Oklahoma,40,123,Central
"Adrian, MI",Lenawee County,Michigan,26,091,Central
"Aguadilla-Isabela, PR",Aguada Municipio,Puerto Rico,72,003,Central
"Aguadilla-Isabela, PR",Aguadilla Municipio,Puerto Rico,72,005,Central
"Aguadilla-Isabela, PR",Añasco Municipio,Puerto Rico,72,011,Central
"Aguadilla-Isabela, PR",Isabela Municipio,Puerto Rico,72,071,Central
"Aguadilla-Isabela, PR",Lares Municipio,Puerto Rico,72,081,Central
"Aguadilla-Isabela, PR",Moca Municipio,Puerto Rico,72,099,Central
"Aguadilla-Isabela, PR",Rincón Municipio,Puerto Rico,72,117,Central
"Aguadilla-Isabela, PR",San Sebastián Municipio,Puerto Rico,72,131,Central
"Aguadilla-Isabela, PR",Utuado Municipio,Puerto Rico,72,141,Central
"Akron, OH",Portage County,Ohio,39,133,Central
"Akron, OH",Summit County,Ohio,39,153,Central
"Alamogordo, NM",Otero County,New Mexico,35,035,Central
"Albany, GA",Dougherty County,Georgia,13,095,Central
"Albany, GA",Lee County,Georgia,13,177,Central
"Albany, GA",Terrell County,Georgia,13,273,Outlying
"Albany, GA",Worth County,Georgia,13,321,Outlying
"Albany-Lebanon, OR",Linn County,Oregon,41,043,Central
"Albany-Schenectady-Troy, NY",Albany County,New York,36,001,Central
"Albany-Schenectady-Troy, NY",Rensselaer County,New York,36,083,Central
"Albany-Schenectady-Troy, NY",Saratoga County,New York,36,091,Central
"Albany-Schenectady-Troy, NY",Schenectady County,New York,36,093,Central
"Albany-Schenectady-Troy, NY",Schoharie County,New York,36,095,Outlying
"Albemarle, NC",Stanly County,North Carolina,37,167,Central
"Albert Lea, MN",Freeborn County,Minnesota,27,047,Central
"Albertville, AL",Marshall County,Alabama,01,095,Central
"Albuquerque, NM",Bernalillo County,New Mexico,35,001,Central
"Albuquerque, NM",Sandoval County,New Mexico,35,043,Central
"Albuquerque, NM",Torrance County,New Mexico,35,057,Outlying
"Albuquerque, NM",Valencia County,New Mexico,35,061,Outlying
"Alexander City, AL",Coosa County,Alabama,01,037,Outlying
"Alexander City, AL",Tallapoosa County,Alabama,01,123,Central
"Alexandria, LA",Grant Parish,Louisiana,22,043,Outlying
"Alexandria, LA",Rapides Parish,Louisiana,22,079,Central
"Alexandria, MN",Douglas County,Minnesota,27,041,Central
"Alice, TX",Duval County,Texas,48,131,Outlying
"Alice, TX",Jim Wells County,Texas,48,249,Central
"Allentown-Bethlehem-Easton, PA-NJ",Warren County,New Jersey,34,041,Central
"Allentown-Bethlehem-Easton, PA-NJ",Carbon County,Pennsylvania,42,025,Central
"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County,Pennsylvania,42,077,Central
"Allentown-Bethlehem-Easton, PA-NJ",Northampton County,Pennsylvania,42,095,Central
"Alma, MI",Gratiot County,Michigan,26,057,Central
"Alpena, MI",Alpena County,Michigan,26,007,Central
"Altoona, PA",Blair County,Pennsylvania,42,013,Central
"Altus, OK",Jackson County,Oklahoma,40,065,Central
"Amarillo, TX",Armstrong County,Texas,48,011,Outlying
"Amarillo, TX",Carson County,Texas,48,065,Outlying
"Amarillo, TX",Oldham County,Texas,48,359,Outlying
"Amarillo, TX",Potter County,Texas,48,375,Central
"Amarillo, TX",Randall County,Texas,48,381,Central
"Americus, GA",Schley County,Georgia,13,249,Outlying
"Americus, GA",Sumter County,Georgia,13,261,Central
"Ames, IA",Boone County,Iowa,19,015,Outlying
"Ames, IA",Story County,Iowa,19,169,Central
"Amsterdam, NY",Montgomery County,New York,36,057,Central
"Anchorage, AK",Anchorage Municipality,Alaska,02,020,Central
"Anchorage, AK",Matanuska-Susitna Borough,Alaska,02,170,Outlying
"Andrews, TX",Andrews County,Texas,48,003,Central
"Angola, IN",Steuben County,Indiana,18,151,Central
"Ann Arbor, MI",Washtenaw County,Michigan,26,161,Central
"Anniston-Oxford, AL",Calhoun County,Alabama,01,015,Central
"Appleton, WI",Calumet County,Wisconsin,55,015,Central
"Appleton, WI",Outagamie County,Wisconsin,55,087,Central
"Arcadia, FL",DeSoto County,Florida,12,027,Central
"Ardmore, OK",Carter County,Oklahoma,40,019,Central
"Ardmore, OK",Love County,Oklahoma,40,085,Outlying
"Arecibo, PR",Arecibo Municipio,Puerto Rico,72,013,Central
"Arecibo, PR",Camuy Municipio,Puerto Rico,72,027,Central
"Arecibo, PR",Hatillo Municipio,Puerto Rico,72,065,Central
"Arecibo, PR",Quebradillas Municipio,Puerto Rico,72,115,Central
"Arkadelphia, AR",Clark County,Arkansas,05,019,Central
"Asheville, NC",Buncombe County,North Carolina,37,021,Central
"Asheville, NC",Haywood County,North Carolina,37,087,Central
"Asheville, NC",Henderson County,North Carolina,37,089,Central
"Asheville, NC",Madison County,North Carolina,37,115,Outlying
"Ashland, OH",Ashland County,Ohio,39,005,Central
"Ashtabula, OH",Ashtabula County,Ohio,39,007,Central
"Astoria, OR",Clatsop County,Oregon,41,007,Central
"Atchison, KS",Atchison County,Kansas,20,005,Central
"Athens, OH",Athens County,Ohio,39,009,Central
"Athens, TN",McMinn County,Tennessee,47,107,Central
"Athens, TX",Henderson County,Texas,48,213,Central
"Athens-Clarke County, GA",Clarke County,Georgia,13,059,Central
"Athens-Clarke County, GA",Madison County,Georgia,13,195,Outlying
"Athens-Clarke County, GA",Oconee County,Georgia,13,219,Central
"Athens-Clarke County, GA",Oglethorpe County,Georgia,13,221,Outlying
"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County,Georgia,13,013,Outlying
"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County,Georgia,13,015,Outlying
"Atlanta-Sandy Springs-Alpharetta, GA",Butts County,Georgia,13,035,Outlying
"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County,Georgia,13,045,Outlying
"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County,Georgia,13,057,Central
"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,Georgia,13,063,Central
