"MMSA_NAME","CASES","DEATHS","death_rate"
"Aberdeen, SD",1338,4,0.298953662182362
"Aberdeen, WA",518,10,1.93050193050193
"Abilene, TX",2166,59,2.72391505078486
"Ada, OK",442,3,0.678733031674208
"Adrian, MI",842,18,2.13776722090261
"Akron, OH",6615,319,4.82237339380197
"Alamogordo, NM",270,13,4.81481481481481
"Albany-Lebanon, OR",532,13,2.44360902255639
"Albany-Schenectady-Troy, NY",6600,228,3.45454545454545
"Albany, GA",4723,275,5.82257040016938
"Albemarle, NC",2014,56,2.78053624627607
"Albert Lea, MN",548,4,0.72992700729927
"Albertville, AL",3983,45,1.12980165704243
"Albuquerque, NM",8643,224,2.59169269929423
"Alexander City, AL",1347,88,6.53303637713437
"Alexandria, LA",4754,179,3.76525031552377
"Alexandria, MN",362,2,0.552486187845304
"Alice, TX",1933,53,2.74185204345577
"Allentown-Bethlehem-Easton, PA-NJ",12125,857,7.0680412371134
"Alma, MI",292,15,5.13698630136986
"Alpena, MI",145,14,9.6551724137931
"Altoona, PA",716,18,2.51396648044693
"Altus, OK",793,10,1.26103404791929
"Amarillo, TX",8979,102,1.13598396257935
"Americus, GA",1039,64,6.15976900866217
"Ames, IA",4016,25,0.622509960159363
"Amsterdam, NY",235,9,3.82978723404255
"Anchorage, AK",624,2,0.320512820512821
"Andrews, TX",425,9,2.11764705882353
"Angola, IN",400,7,1.75
"Ann Arbor, MI",3773,116,3.0744765438643
"Anniston-Oxford, AL",3569,44,1.23283833006444
"Appleton, WI",6450,35,0.542635658914729
"Arcadia, FL",1571,25,1.59134309357097
"Ardmore, OK",761,10,1.31406044678055
"Arkadelphia, AR",357,4,1.12044817927171
"Asheville, NC",5954,178,2.98958683238159
"Ashland, OH",261,4,1.53256704980843
"Ashtabula, OH",664,48,7.2289156626506
"Astoria, OR",221,0,0
"Atchison, KS",308,2,0.649350649350649
"Athens-Clarke County, GA",6884,89,1.29285299244625
"Athens, OH",757,2,0.264200792602378
"Athens, TN",1176,26,2.2108843537415
"Athens, TX",984,23,2.33739837398374
"Atlanta-Sandy Springs-Alpharetta, GA",147823,2963,2.00442421003497
"Atlantic City-Hammonton, NJ",4128,256,6.2015503875969
"Atmore, AL",1620,24,1.48148148148148
"Auburn-Opelika, AL",6017,61,1.01379424962606
"Auburn, IN",503,12,2.38568588469185
"Auburn, NY",220,2,0.909090909090909
"Augusta-Richmond County, GA-SC",17659,355,2.0103063593635
"Augusta-Waterville, ME",215,11,5.11627906976744
"Austin-Round Rock-Georgetown, TX",47380,693,1.46264246517518
"Austin, MN",1348,6,0.445103857566766
"Bainbridge, GA",1165,29,2.48927038626609
"Bakersfield, CA",32128,370,1.15164342629482
"Baltimore-Columbia-Towson, MD",38922,1232,3.16530496891218
"Bangor, ME",254,6,2.36220472440945
"Baraboo, WI",1003,4,0.398803589232303
"Bardstown, KY",519,4,0.770712909441233
"Barnstable Town, MA",2010,174,8.65671641791045
"Barre, VT",78,2,2.56410256410256
"Bartlesville, OK",1005,40,3.98009950248756
"Batavia, NY",330,6,1.81818181818182
"Batesville, AR",1387,27,1.94664744051911
"Baton Rouge, LA",29817,880,2.95133648589731
"Battle Creek, MI",1492,46,3.08310991957105
"Bay City, MI",1027,51,4.96592015579357
"Bay City, TX",1041,48,4.61095100864553
"Beatrice, NE",265,5,1.88679245283019
"Beaumont-Port Arthur, TX",10860,210,1.93370165745856
"Beaver Dam, WI",1994,17,0.852557673019057
"Beckley, WV",1158,22,1.89982728842832
"Bedford, IN",532,31,5.82706766917293
"Beeville, TX",1816,34,1.87224669603524
"Bellefontaine, OH",317,3,0.946372239747634
"Bellingham, WA",1355,45,3.3210332103321
"Bemidji, MN",473,5,1.05708245243129
"Bend, OR",873,12,1.3745704467354
"Bennettsville, SC",931,11,1.18152524167562
"Bennington, VT",115,1,0.869565217391304
"Berlin, NH",22,0,0
"Big Rapids, MI",228,3,1.31578947368421
"Big Spring, TX",823,16,1.94410692588092
"Big Stone Gap, VA",459,9,1.96078431372549
"Billings, MT",3530,70,1.98300283286119
"Binghamton, NY",1922,106,5.51508844953174
"Birmingham-Hoover, AL",32666,494,1.51227576072981
"Bismarck, ND",5146,76,1.47687524290711
"Blackfoot, ID",960,10,1.04166666666667
"Blacksburg-Christiansburg, VA",3069,10,0.325839035516455
"Bloomington, IL",3325,23,0.691729323308271
"Bloomington, IN",2886,43,1.48995148995149
"Bloomsburg-Berwick, PA",1104,40,3.6231884057971
"Bluefield, WV-VA",812,35,4.31034482758621
"Bluffton, IN",290,4,1.37931034482759
"Blytheville, AR",1708,51,2.98594847775176
"Bogalusa, LA",1643,67,4.07790626902008
"Boise City, ID",22155,260,1.17354998871587
"Bonham, TX",691,15,2.17076700434153
"Boone, NC",905,1,0.110497237569061
"Borger, TX",224,5,2.23214285714286
"Boston-Cambridge-Newton, MA-NH",100860,6533,6.47729526075749
"Boulder, CO",4435,79,1.78128523111612
"Bowling Green, KY",5245,87,1.65872259294566
"Bozeman, MT",1412,4,0.28328611898017
"Bradford, PA",59,2,3.38983050847458
"Brainerd, MN",751,22,2.92942743009321
"Branson, MO",1317,33,2.50569476082005
"Breckenridge, CO",465,4,0.860215053763441
"Bremerton-Silverdale-Port Orchard, WA",1222,12,0.981996726677578
"Brenham, TX",641,48,7.48829953198128
"Brevard, NC",333,8,2.4024024024024
"Bridgeport-Stamford-Norwalk, CT",20225,1422,7.03090234857849
"Brookhaven, MS",1123,53,4.71950133570793
"Brookings, OR",32,0,0
"Brookings, SD",779,2,0.256739409499358
"Brownsville-Harlingen, TX",22825,912,3.99561883899233
"Brownsville, TN",1006,23,2.28628230616302
"Brownwood, TX",586,25,4.26621160409556
"Brunswick, GA",4125,112,2.71515151515152
"Bucyrus-Galion, OH",249,6,2.40963855421687
"Buffalo-Cheektowaga, NY",13288,714,5.37326911499097
"Burley, ID",1482,14,0.944669365721997
"Burlington-South Burlington, VT",981,46,4.68909276248726
"Burlington, IA-IL",891,8,0.897867564534231
"Burlington, NC",3977,55,1.38295197384964
"Butte-Silver Bow, MT",270,0,0
"Cañon City, CO",176,1,0.568181818181818
"Cadillac, MI",193,5,2.59067357512953
"Calhoun, GA",1870,36,1.92513368983957
"California-Lexington Park, MD",1310,57,4.35114503816794
"Cambridge, MD",594,10,1.68350168350168
"Cambridge, OH",175,8,4.57142857142857
"Camden, AR",305,6,1.9672131147541
"Campbellsville, KY",579,15,2.59067357512953
"Canton-Massillon, OH",3108,182,5.85585585585586
"Cape Coral-Fort Myers, FL",20516,468,2.28114642230454
"Cape Girardeau, MO-IL",2224,20,0.899280575539568
"Carbondale-Marion, IL",2865,73,2.54799301919721
"Carlsbad-Artesia, NM",861,11,1.27758420441347
"Carroll, IA",704,5,0.710227272727273
"Carson City, NV",494,8,1.61943319838057
"Casper, WY",603,4,0.66334991708126
"Cedar City, UT",761,3,0.394218134034166
"Cedar Rapids, IA",4802,118,2.457309454394
"Cedartown, GA",1490,18,1.20805369127517
"Celina, OH",1161,19,1.6365202411714
"Central City, KY",785,12,1.52866242038217
"Centralia, IL",573,2,0.349040139616056
"Centralia, WA",547,5,0.914076782449726
"Chambersburg-Waynesboro, PA",1795,50,2.78551532033426
"Champaign-Urbana, IL",4961,21,0.423301753678694
"Charleston-Mattoon, IL",1727,36,2.0845396641575
"Charleston-North Charleston, SC",25597,442,1.72676485525648
"Charleston, WV",3459,109,3.15119976871928
"Charlotte-Concord-Gastonia, NC-SC",60724,875,1.44094591924116
"Charlottesville, VA",2016,35,1.73611111111111
"Chattanooga, TN-GA",13548,163,1.20312961322704
"Cheyenne, WY",718,4,0.557103064066852
"Chicago-Naperville-Elgin, IL-IN-WI",234595,7647,3.25966026556406
"Chico, CA",2804,44,1.56918687589158
"Chillicothe, OH",914,27,2.95404814004376
"Cincinnati, OH-KY-IN",31059,681,2.1926011784024
"Clarksburg, WV",548,18,3.28467153284672
"Clarksdale, MS",1175,30,2.5531914893617
"Clarksville, TN-KY",4912,70,1.42508143322476
"Clearlake, CA",433,10,2.3094688221709
"Cleveland-Elyria, OH",23903,885,3.70246412584194
"Cleveland, MS",1873,70,3.73731980779498
"Cleveland, TN",3398,27,0.794585050029429
"Clewiston, FL",2076,40,1.92678227360308
"Clinton, IA",1143,21,1.83727034120735
"Clovis, NM",851,6,0.705052878965922
"Coeur d'Alene, ID",2743,34,1.2395187750638
"Coffeyville, KS",435,6,1.37931034482759
"Coldwater, MI",640,5,0.78125
"College Station-Bryan, TX",7113,73,1.0262898917475
"Colorado Springs, CO",7139,178,2.49334640705981
"Columbia, MO",5255,15,0.285442435775452
"Columbia, SC",26849,519,1.93303288763082
"Columbus, GA-AL",11182,224,2.00321945984618
"Columbus, IN",1218,61,5.00821018062397
"Columbus, MS",1608,58,3.60696517412935
"Columbus, NE",1135,4,0.352422907488987
"Columbus, OH",38771,832,2.14593381651234
"Concord, NH",592,23,3.88513513513514
"Connersville, IN",537,14,2.60707635009311
"Cookeville, TN",4500,55,1.22222222222222
"Coos Bay, OR",160,0,0
"Cordele, GA",571,17,2.97723292469352
"Corinth, MS",834,11,1.3189448441247
"Cornelia, GA",1674,67,4.00238948626045
"Corning, NY",453,43,9.49227373068433
"Corpus Christi, TX",17389,451,2.59359365115878
"Corsicana, TX",1303,27,2.07214121258634
"Cortland, NY",184,1,0.543478260869565
"Corvallis, OR",328,6,1.82926829268293
"Coshocton, OH",235,11,4.68085106382979
"Craig, CO",43,1,2.32558139534884
"Crawfordsville, IN",514,23,4.47470817120623
"Crescent City, CA",144,1,0.694444444444444
"Crestview-Fort Walton Beach-Destin, FL",7013,140,1.99629259945815
"Crossville, TN",1223,19,1.55355682747343
"Cullman, AL",1922,20,1.04058272632674
"Cullowhee, NC",810,10,1.23456790123457
"Cumberland, MD-WV",648,27,4.16666666666667
"Dallas-Fort Worth-Arlington, TX",171616,2432,1.41711728510162
"Dalton, GA",5465,66,1.20768526989936
"Danville, IL",830,4,0.481927710843373
"Danville, KY",504,13,2.57936507936508
"Danville, VA",1022,10,0.978473581213307
"Daphne-Fairhope-Foley, AL",5640,52,0.921985815602837
"Davenport-Moline-Rock Island, IA-IL",6998,115,1.64332666476136
"Dayton-Kettering, OH",11092,253,2.28092318788316
"Dayton, TN",863,15,1.73812282734647
"Decatur, AL",3985,54,1.35508155583438
"Decatur, IL",1636,45,2.75061124694377
"Decatur, IN",498,4,0.803212851405622
"Defiance, OH",334,12,3.59281437125748
"Del Rio, TX",2203,104,4.7208352246936
"Deltona-Daytona Beach-Ormond Beach, FL",12696,275,2.16603654694392
"Deming, NM",424,7,1.65094339622642
"Denver-Aurora-Lakewood, CO",40918,1348,3.29439366537954
"DeRidder, LA",1013,38,3.75123395853899
"Des Moines-West Des Moines, IA",21318,353,1.65587766206961
"Detroit-Warren-Dearborn, MI",74217,5335,7.18838002074996
"Dickinson, ND",1680,14,0.833333333333333
"Dixon, IL",394,1,0.253807106598985
"Dodge City, KS",2902,10,0.344589937973811
"Dothan, AL",4118,31,0.752792617775619
"Douglas, GA",2514,53,2.10819411296738
"Dover, DE",2963,117,3.94870064124198
"Dublin, GA",2337,107,4.57851946940522
"DuBois, PA",330,6,1.81818181818182
"Dubuque, IA",3412,42,1.23094958968347
"Duluth, MN-WI",2601,43,1.65321030372933
"Dumas, TX",1183,22,1.85967878275571
"Duncan, OK",455,5,1.0989010989011
"Durango, CO",263,2,0.760456273764259
"Durant, OK",1003,5,0.498504486540379
"Durham-Chapel Hill, NC",14409,266,1.84606842945381
"Dyersburg, TN",1430,17,1.18881118881119
"Eagle Pass, TX",3712,124,3.34051724137931
