"","MMSANAME","BMI_(kg/m2)","%Underweight","%Normal_weight","%Overwieght","%Obese","%Extreme_Obesity","State"
"1","Aberdeen",28.4886145286607,3.92156862745098,33.3333333333333,29.4117647058824,23.5294117647059,9.80392156862745,"SD"
"2","Albany-Schenectady-Troy",28.8853204341267,0,32.6732673267327,35.6435643564356,23.7623762376238,7.92079207920792,"NY"
"3","Albuquerque",27.3436633987905,2.10526315789474,38.5964912280702,37.1929824561403,17.5438596491228,4.56140350877193,"NM"
"4","Allentown-Bethlehem-Easton",26.8515804429216,0.78740157480315,40.9448818897638,37.007874015748,19.6850393700787,1.5748031496063,"PA-NJ"
"5","Anchorage",28.1514282909965,1.57894736842105,38.9473684210526,26.8421052631579,25.2631578947368,7.36842105263158,"AK"
"6","Atlanta-Sandy Springs-Roswell",27.4916080569953,2.07336523125997,40.1913875598086,31.2599681020734,21.3716108452951,5.103668261563,"GA"
"7","Augusta-Richmond County",29.7598620391803,2.96296296296296,21.4814814814815,33.3333333333333,33.3333333333333,8.88888888888889,"GA-SC"
"8","Austin-Round Rock",27.0869791371947,0.668896321070234,43.8127090301003,32.7759197324415,18.3946488294314,4.34782608695652,"TX"
"9","Baltimore-Columbia-Towson",28.0630127326771,1.47058823529412,37.0320855614973,31.6844919786096,23.6631016042781,6.14973262032086,"MD"
"10","Baton Rouge",29.4718701512713,0.609756097560976,32.3170731707317,27.4390243902439,31.0975609756098,8.53658536585366,"LA"
"11","Billings",26.8041946033687,2.5,43.3333333333333,34.1666666666667,15.8333333333333,4.16666666666667,"MT"
"12","Birmingham-Hoover",29.2341506340424,2.63157894736842,30.0751879699248,29.6992481203008,28.5714285714286,9.02255639097744,"AL"
"13","Bismarck",27.4939297386274,2.11267605633803,39.4366197183099,31.6901408450704,21.830985915493,4.92957746478873,"ND"
"14","Boise City",27.0615481384165,4.29184549356223,39.4849785407725,32.618025751073,16.7381974248927,6.86695278969957,"ID"
"15","Boston",26.5670609202972,2.84090909090909,43.4659090909091,30.6818181818182,19.6022727272727,3.40909090909091,"MA"
"16","Buffalo-Cheektowaga-Niagara Falls",27.035506642111,2.5974025974026,40.2597402597403,37.6623376623377,11.6883116883117,7.79220779220779,"NY"
